Front (Question)	Back (Answer)	Lecture	Exam Ticket
Сегментация: семантическая vs instance vs panoptic?	<p><strong>Семантическая:</strong> класс каждому пикселю. Два человека = "человек" пиксели, неразличимы. <strong>Instance:</strong> маска для каждого объекта. Два человека = две отдельные маски. <strong>Panoptic:</strong> объединение: "stuff" классы (семантические, например небо) + "thing" классы (instance'ы, например люди). По сложности: семантическая &lt; instance (используется Mask R-CNN) &lt; panoptic.</p>	Лекция_13	Билет_12_(ч.2)_Задачи_Computer_Vision
U-Net: почему skip-connections помогают?	<p>При downsampling в энкодере теряется информация о тонкой структуре (края, детали). Skip-connections вводят эту информацию обратно в декодер путём конкатенации. Пример: декодер на уровне 4×4 не знает, где ровно границы объектов (информация в 32×32 feature map энкодера). Конкатенируем → декодер восстанавливает границы точнее. Отсюда название U-shape: информация идёт вниз по левому краю, потом вверх по правому, но не проходит мимо центра.</p>	Лекция_13	Билет_12_(ч.2)_Задачи_Computer_Vision
Dice loss vs Cross-entropy в сегментации. Когда что использовать?	<p>Cross-entropy: $L = -\sum_i g_i \log p_i$, одинаково штрафует за ошибку независимо от её размера. Dice loss: $L = 1 - \frac{2TP}{2TP+FP+FN}$, относит ошибку к площади. При сильном дисбалансе (опухоль 1% картинки) CE дает малые градиенты на миноритарном классе. Dice solution: она инвариантна к дисбалансу. На практике комбинируют: $L = L_{\text{CE}} + L_{\text{Dice}}$.</p>	Лекция_13	Билет_12_(ч.2)_Задачи_Computer_Vision
Ключевые точки: прямая регрессия vs heatmap. Почему heatmap работает лучше?	<p><strong>Прямая регрессия:</strong> выход = вектор координат $(x_1, y_1, ..., x_k, y_k)$. Просто, но сложно: предсказать K точек одним вектором, градиенты размазаны. <strong>Heatmap:</strong> для каждой точки выход = карта вероятности (гауссиан вокруг истинной точки). Работает лучше, потому что: (1) каждая точка — отдельная локальная задача, (2) соседние пиксели дают информацию, (3) неопределённость кодируется в размер гауссиана. Практика: ~75% accuracy (регрессия) vs ~95% (heatmap) на COCO.</p>	Лекция_13	Билет_12_(ч.2)_Задачи_Computer_Vision
SORT vs DeepSORT: в чём разница?	<p>SORT: детектор → Kalman filter (предсказание) → венгерский алгоритм (сопоставление по IoU). Быстро, просто. Проблема: если объект исчезает/переклекивается, может получить новый ID. DeepSORT добавляет: appearance embeddings (хранить и сравнивать внешность объектов). Матрица стоимости сопоставления = $\alpha \cdot \text{IoU\_dist} + (1-\alpha) \cdot \text{cosine\_dist}$. Результат: сохраняет ID при окклюзии. Цена: медленнее (нужна re-ID сеть).</p>	Лекция_13	Билет_12_(ч.2)_Задачи_Computer_Vision
Что такое "anchor" в детекции и почему anchor-free лучше?	<p>Anchor: предопределённые шаблонные боксы (разных размеров и aspect ratio) на каждой позиции feature map. Детектор регрессирует смещения (deltas) к этим anchor'ам. Плюс: регрессировать deltas проще. Минус: нужно выбирать какие anchor'ы, много гиперпараметров, некоторые объекты плохо совпадают с anchor'ами. Anchor-free (FCOS, CenterNet): предсказать координаты прямо (расстояния до границ или центр+размер), без шаблонов. Плюс: проще, нет гиперпараметров. На практике обычно сопоставимо, иногда anchor-free чуть лучше.</p>	Лекция_13	Билет_12_(ч.2)_Задачи_Computer_Vision
В чем математическая причина, по которой LSTM не страдает от затухания градиента?	<p>В LSTM обновление состояния ячейки $C_t = f_t \odot C_{t-1} + i_t \odot \tilde{C}_t$ является <strong>аддитивным (линейным)</strong>. Производная $\frac{\partial C_t}{\partial C_{t-1}} = f_t$. Если Forget Gate открыт ($f_t \approx 1$), то градиент при обратном проходе $\frac{\partial L}{\partial C_0} = \frac{\partial L}{\partial C_T} \prod_{t=1}^T f_t \approx \frac{\partial L}{\partial C_T} \cdot 1^T$ распространяется назад на сотни шагов <strong>без экспоненциального затухания</strong> (Constant Error Carousel).</p>	Лекция_14	Билет_13_Рекуррентные_сети_LSTM_biLSTM
Сколько обучаемых матриц весов (или параметров) находится внутри одного слоя LSTM по сравнению с простой RNN?	<p>В простой RNN один слой содержит 1 пару матриц $(W_{xh}, W_{hh})$ и 1 вектор смещения $b_h$. В LSTM находятся <strong>4 независимых гейта/компонента</strong> ($f_t, i_t, \tilde{C}_t, o_t$), каждый из которых имеет свои $W_{xh}, W_{hh}$ и $b$. Следовательно, слой LSTM содержит ровно <strong>в 4 раза больше параметров</strong>: $4 \times (d_{\text{in}} \cdot d_{\text{hidden}} + d_{\text{hidden}}^2 + d_{\text{hidden}})$.</p>	Лекция_14	Билет_13_Рекуррентные_сети_LSTM_biLSTM
Зачем в гейтах LSTM используется сигмоида $\sigma$, а при создании кандидата $\tilde{C}_t$ — $\tanh$?	<p><strong>Сигмоида ($\sigma \in [0, 1]$):</strong> Выполняет роль мягкого вентиля (пропускной заслонки): $0$ — полностью заблокировать поток информации, $1$ — пропустить целиком.<br> <strong>Тангенс ($\tanh \in [-1, 1]$):</strong> Создает новые значения для добавления в память. Центрирован относительно нуля и позволяет как увеличивать, так и уменьшать значения в $C_t$, предотвращая бесконечное накопление и переполнение числовых значений памяти.</p>	Лекция_14	Билет_13_Рекуррентные_сети_LSTM_biLSTM
Что такое Teacher Forcing и к какой проблеме на инференсе (Exposure Bias) он приводит?	<p>Teacher Forcing — подача истинного токена $y_{t-1}^{\text{true}}$ вместо сгенерированного $\hat{y}_{t-1}$ на вход декодера во время обучения. Проблема <strong>Exposure Bias</strong> заключается в том, что во время реального инференса у модели нет подсказок учителя. Если модель ошибется на 1-м шаге, она попадает в не встречавшееся на обучении состояние и начинает накапливать ошибки лавинообразно. Лечение: Scheduled Sampling (постепенное снижение доли Teacher Forcing).</p>	Лекция_14	Билет_13_Рекуррентные_сети_LSTM_biLSTM
В чем главное отличие GRU от LSTM?	<p>1. В GRU всего 2 гейта (Update $z_t$ и Reset $r_t$) вместо 3 гейтов в LSTM.<br> 2. В GRU нет отдельного Cell State $C_t$ — скрытое состояние $h_t$ совмещает обе роли.<br> 3. В GRU на 25% меньше параметров, поэтому она обучается быстрее и меньше переобучается на маленьких датасетах.</p>	Лекция_14	Билет_13_Рекуррентные_сети_LSTM_biLSTM
Можно ли распараллелить вычисления в RNN по временным шагам во время обучения?	<p><strong>Нет, нельзя.</strong> По определению рекуррентности вычисление $h_t$ строго последовательно требует готовности $h_{t-1}$. Временная сложность последовательного прохода на GPU равна $O(T)$ операций. Это фундаментальное бутылочное горлышко RNN, которое привело к изобретению Трансформеров.</p>	Лекция_14	Билет_13_Рекуррентные_сети_LSTM_biLSTM
Зачем нужна инициализация смещения Forget Gate $b_f$ единицей ($b_f = 1.0$)?	<p>Если $b_f$ инициализировать нулем, то $\sigma(0) = 0.5$, и в начале обучения память на каждом шаге будет умножаться на $0.5$, затухая за 10 шагов в $0.5^{10} \approx 0.001$. Установка $b_f = 1.0$ делает $\sigma(1) \approx 0.73$ (или выше), заставляя сеть по умолчанию <strong>помнить всё</strong> в начале обучения и забывать только то, что необходимо.</p>	Лекция_14	Билет_13_Рекуррентные_сети_LSTM_biLSTM
Почему в biLSTM размер скрытого состояния на выходе удваивается?	<p>Потому что выход biLSTM формируется конкатенацией векторов прямого прохода $\overrightarrow{h}_t \in \mathbb{R}^{d}$ и обратного прохода $\overleftarrow{h}_t \in \mathbb{R}^{d}$, образуя вектор $h_t \in \mathbb{R}^{2d}$.</p>	Лекция_14	Билет_13_Рекуррентные_сети_LSTM_biLSTM
Как устроен механизм PackedSequence в PyTorch и почему его использование критично для эффективного обучения RNN на батчах переменной длины?	<p>Если подавать батч последовательностей разной длины как тензор $(B, T_{\max}, D)$ с заполнением нулями (padding), возникают две проблемы:</p> <ol> <li>Выполняются лишние $O(B \cdot T_{\max})$ матричные умножения для pad-токенов, тратящие память и ресурсы GPU;</li> <li>На шагах с pad-токенами скрытое состояние $h_t$ искажается (происходит смещение из-за прибавления весов сдвига $b_h$), что портит итоговый вектор $h_L$.</li> </ol> <p>Функция <code>torch.nn.utils.rnn.pack_padded_sequence</code> сортирует последовательности по убыванию длины и преобразует тензор в структуру <code>PackedSequence</code>: непрерывный 1D-массив данных <code>data</code> и массив <code>batch_sizes</code> (количество активных элементов на каждом временном шаге $t$). Слой LSTM вычисляет матричные умножения за один вызов ядра только для реально существующих элементов, динамически уменьшая размер батча от шага к шагу. После завершения рекуррентного прохода <code>pad_packed_sequence</code> восстанавливает исходную форму с сохранением корректных скрытых состояний без загрязнения padding-мусором.</p>	Лекция_14	Билет_13_Рекуррентные_сети_LSTM_biLSTM
Как математически работает Gradient Clipping по норме (torch.nn.utils.clip_grad_norm_) и почему он эффективен против «скал» (cliffs) на поверхности функции потерь RNN?	<p>При обратном распространении ошибки через время (BPTT) произведение матриц весов $(W_{hh})^T$ на длинных последовательностях может вызвать экспоненциальный взрыв градиента ($\|g\| \to \infty$). Поверхность функции потерь RNN часто содержит «скалы» (cliffs) — чрезвычайно крутые узкие области с гигантским градиентом. Обычный шаг градиентного спуска $w \leftarrow w - \eta g$ на такой скале выбросит параметры далеко в зону расходимости.</p> <p>Функция <code>clip_grad_norm_(parameters, max_norm)</code> вычисляет глобальную евклидову норму всех градиентов модели $\|g\|_2 = \sqrt{\sum_i \|g_i\|_2^2}$. Если $\|g\|_2 > \theta$ (где $\theta = \text{max\_norm}$), градиенты перенормируются:</p> $$g \leftarrow g \cdot \frac{\theta}{\|g\|_2}$$ <p>Это строго ограничивает максимальную длину шага величиной $\eta \cdot \theta$, при этом <strong>сохраняя точное направление антиградиента</strong>. Модель плавно спускается с крутого склона без катастрофических скачков параметров в пространстве весов.</p>	Лекция_14	Билет_13_Рекуррентные_сети_LSTM_biLSTM
В чем фундаментальное отличие Bahdanau Attention от Luong Attention?	<p>1. <strong>Математическая форма:</strong> Bahdanau использует аддитивный скоринг через однослойный перцептрон $v^T \tanh(W s + U h)$, а Luong — мультипликативный скоринг через скалярное произведение $s^T W h$.<br> 2. <strong>Порядок вычислений:</strong> Bahdanau считает внимание на основе состояния декодера с предыдущего шага $s_{t-1}$ (до вычисления шага RNN), а Luong берет уже вычисленное текущее состояние $s_t$.</p>	Лекция_15	Билет_14_Механизм_внимания_в_seq2seq
По какой размерности вычисляется Softmax при расчете весов внимания в Seq2Seq?	<p>Softmax <strong>всегда вычисляется по длине входной последовательности энкодера $S$</strong> (Source Length). На каждом шаге декодера сумма весов по всем $S$ словам входа должна быть строго равна $1$: $\sum_{i=1}^S \alpha_{t, i} = 1$.</p>	Лекция_15	Билет_14_Механизм_внимания_в_seq2seq
Почему механизм внимания называют дифференцируемым поиском по словарю (Differentiable Key-Value Lookup)?	<p>В обычном словаре мы ищем точное совпадение ключа $K$ по запросу $Q$ и возвращаем дискретное значение $V$. В механизме внимания запрос $Q$ сравнивается со всеми ключами $K_i$ непрерывно (через скалярное произведение / softmax), возвращая взвешенную сумму значений $\sum \alpha_i V_i$. Так как все операции непрерывны, через такой «поиск» свободно протекают градиенты.</p>	Лекция_15	Билет_14_Механизм_внимания_в_seq2seq
Какова размерность вектора контекста $c_t$ и зависит ли она от длины входного предложения $S$?	<p>Размерность вектора $c_t$ равна размерности скрытого состояния энкодера $d_{\text{hidden}}$ (или $2 d_{\text{hidden}}$ при biLSTM). <strong>Она абсолютно не зависит от входной длины $S$</strong>, так как операция взвешенного суммирования схлопывает измерение $S$.</p>	Лекция_15	Билет_14_Механизм_внимания_в_seq2seq
Что показывает матрица выравнивания (Alignment Matrix) при переводе на язык с другим порядком слов?	<p>Для языков с прямым порядком слов матрица имеет яркую главную диагональ. При инверсиях (например, в немецком глагол в конце придаточного предложения или во французском прилагательное после существительного) диагональ локально смещается или идет перпендикулярно, точно указывая на синтаксические перестановки.</p>	Лекция_15	Билет_14_Механизм_внимания_в_seq2seq
В чем преимущество Local Attention перед Global Attention?	<p>Global Attention вычисляет веса по всей длине входа $S$, что требует $O(S)$ вычислений на каждый выходной токен. Local Attention выбирает окно фиксированной ширины $2D$ вокруг предсказанной позиции $p_t$, снижая вычислительную сложность и затраты памяти до $O(D)$, что критично для обработки длинных текстов.</p>	Лекция_15	Билет_14_Механизм_внимания_в_seq2seq
Какова длина пути градиента (Maximum Path Length) в Seq2Seq с вниманием по сравнению с обычной RNN?	<p>В обычной RNN длина пути между первым входным токеном $x_1$ и последним сгенерированным токеном $y_T$ равна $O(S + T)$ шагов через цепочку нелинейностей. В Seq2Seq с вниманием вектор контекста $c_t$ соединяет состояние $h_1$ с декодером напрямую за <strong>$O(1)$</strong> шаг.</p>	Лекция_15	Билет_14_Механизм_внимания_в_seq2seq
Зачем вектору контекста $c_t$ конкатенироваться с выходом декодера перед финальным линейным слоем?	<p>Это дает финальному классификатору слов одновременный доступ как к информации о текущей структуре целевого языка (из состояния декодера $s_t$), так и к семантике исходного предложения (из вектора контекста $c_t$).</p>	Лекция_15	Билет_14_Механизм_внимания_в_seq2seq
Сравните три основные функции скоринга внимания: аддитивное (Bahdanau), мультипликативное (Luong) и Scaled Dot-Product. В чем их вычислительные компромиссы?	<p>Три функции оценки сходства запроса $q \in \mathbb{R}^{d_q}$ и ключа $k \in \mathbb{R}^{d_k}$:</p> <ol> <li><strong>Аддитивное (Bahdanau):</strong> $\text{score}(q, k) = v_a^\top \tanh(W_a q + U_a k)$. Вычислительно наиболее дорогое: требует двух матричных умножений, сложения векторов и вычисления нелинейности $\tanh$, что создает накладные расходы по памяти и не оптимизируется в единое GEMM-ядро на GPU.</li> <li><strong>Мультипликативное (Luong General):</strong> $\text{score}(q, k) = q^\top W_a k$. Выполняется как произведение матриц $Q W_a K^\top$. Эффективно утилизирует тензорные ядра GPU, но при совпадении размерностей требует $d_q \times d_k$ обучаемых параметров.</li> <li><strong>Scaled Dot-Product (Vaswani et al.):</strong> $\text{score}(q, k) = \frac{q^\top k}{\sqrt{d_k}}$ (при $d_q = d_k$). Не требует дополнительных параметров внутри скоринга, сводится к быстрому матричному умножению $Q K^\top$, а коэффициент $\frac{1}{\sqrt{d_k}}$ предотвращает насыщение Softmax.</li> </ol> <p>При наличии масштабирующего множителя Scaled Dot-Product дает сопоставимое с аддитивным качеством выравнивание при значительно более высокой скорости и меньших затратах памяти.</p>	Лекция_15	Билет_14_Механизм_внимания_в_seq2seq
Как по тепловой карте матрицы выравнивания (Alignment Matrix) диагностировать типичные ошибки машинного перевода (галлюцинации, пропуски, зацикливания)?	<p>Матрица весов внимания $\alpha \in \mathbb{R}^{T \times S}$ (где строки $T$ — токены перевода, столбцы $S$ — токены оригинала) служит ключевым инструментом интерпретации Seq2Seq моделей:</p> <ul> <li><strong>Качественный перевод:</strong> Четкая непрерывная диагональная траектория с локальными перестановками в местах грамматических инверсий (высокая уверенность, низкая энтропия распределения на каждом шаге).</li> <li><strong>Пропуск слов (Under-translation):</strong> Вертикальный столбец $j$, в котором все веса $\alpha_{t, j} \approx 0$ для всех $t \in [1, T]$. Декодер полностью проигнорировал $j$-е слово входа.</li> <li><strong>Зацикливание и повторы (Repetition loop):</strong> Декодер генерирует одинаковые токены, а строки матрицы внимания многократно фокусируются на одном и том же узком диапазоне столбцов исходного предложения.</li> <li><strong>Галлюцинации (Hallucinations):</strong> Размытое, почти равномерное распределение внимания ($\alpha_{t, i} \approx \frac{1}{S}$ по всем $i$), либо фокус исключительно на токенах пунктуации. Декодер теряет связь с исходным контекстом и генерирует текст исключительно за счет своей внутренней языковой модели.</li> </ul>	Лекция_15	Билет_14_Механизм_внимания_в_seq2seq
В чем принципиальная разница между Self-Attention и Cross-Attention в Трансформере?	<p>В <strong>Self-Attention</strong> все три вектора — Запросы ($Q$), Ключи ($K$) и Значения ($V$) — формируются из <em>одного и того же источника</em> (из выходов предыдущего слоя того же блока). В <strong>Cross-Attention</strong> (в декодере) Запросы ($Q$) берутся от <em>декодера</em>, а Ключи ($K$) и Значения ($V$) приходят от <em>выхода энкодера</em>. Декодер своими запросами опрашивает память энкодера.</p>	Лекция_16	Билет_15_Архитектура_Transformer
Зачем в декодере нужна маска в Masked Self-Attention и как она устроена?	<p>Декодер генерирует токены последовательно (авторегрессионно). Во время параллельного обучения мы подаем всю целевую фразу целиком. Без маски токен $y_t$ мог бы «подсмотреть» следующий токен $y_{t+1}$ через скалярное произведение, сделав задачу тривиальной. Маска представляет собой верхнетреугольную матрицу, заполненную $-\infty$ выше главной диагонали, что зануляет веса внимания к будущим токенам после Softmax.</p>	Лекция_16	Билет_15_Архитектура_Transformer
Чем Layer Normalization отличается от Batch Normalization и почему в NLP используют только LayerNorm?	<p>BatchNorm нормализует каждый признак по всем объектам батча, что сильно зависит от размера батча и ломается при текстах разной длины и малых $B$. LayerNorm считает среднее $\mu$ и дисперсию $\sigma^2$ по <strong>вектору скрытых признаков одного конкретного токена</strong>, независимо от других токенов фразы и размера батча. Это идеально подходит для NLP.</p>	Лекция_16	Билет_15_Архитектура_Transformer
Почему синусоидальное позиционное кодирование складывают с эмбеддингами, а не конкатенируют?	<p>Конкатенация увеличила бы размерность входа ($d_{\text{model}} + d_{\text{pos}}$), требуя дополнительных параметров во всех последующих матрицах $W^Q, W^K, W^V$. Сложение не увеличивает размерность, а в многомерном пространстве ($d=512$) векторы семантики и синусоидальные гармоники почти ортогональны и линейные слои легко их разделяют.</p>	Лекция_16	Билет_15_Архитектура_Transformer
Какую роль играет Feed-Forward Network (FFN) после слоя внимания?	<p>Слой внимания выполняет лишь линейную комбинацию существующих представлений разных токенов ($\sum \alpha_i V_i$). FFN с нелинейностью (ReLU/GELU) проецирует вектор в пространство высокой размерности ($4 \times d_{\text{model}}$) и обратно, выполняя нелинейную трансформацию признаков и выступая в роли «ассоциативной памяти» фактов модели.</p>	Лекция_16	Билет_15_Архитектура_Transformer
В чем преимущество Pre-LN перед Post-LN?	<p>В схеме Pre-LN нормализация применяется к входам подблоков <em>до</em> операций внимания и FFN ($x + \text{SubLayer}(\text{LN}(x))$). Это оставляет чистый остаточный тракт (Residual Stream), где градиент свободно течет от верхних слоев к нижним без масштабирования дисперсии, что позволяет обучать сверхглубокие сети без warmup.</p>	Лекция_16	Билет_15_Архитектура_Transformer
Сколько раз вызывается декодер при генерации фразы из 20 слов на инференсе?	<p>При авторегрессионной генерации декодер вызывается <strong>20 раз последовательно</strong> (по одному разу для каждого нового токена). При этом энкодер вызывается <strong>ровно один раз</strong> в самом начале, так как входная фраза не меняется.</p>	Лекция_16	Билет_15_Архитектура_Transformer
Почему в оригинальном Transformer используется $d_{\text{ff}} = 4 \times d_{\text{model}}$?	<p>Расширение скрытого слоя FFN в 4 раза (с 512 до 2048) дает сети достаточную емкость для моделирования сложных нелинейных зависимостей и хранения знаний о предметной области без чрезмерного утяжеления матриц внимания.</p>	Лекция_16	Билет_15_Архитектура_Transformer
Каким математическим свойством обладает синусоидальное позиционное кодирование при относительном сдвиге позиций (Linear Property)?	<p>Для любой пары компонент синусоидального позиционного кодирования на частоте $\omega_i = \frac{1}{10000^{2i/d}}$ вектор на позиции $pos + k$ выражается через вектор на позиции $pos$ с помощью <strong>линейного преобразования (матрицы вращения)</strong>:</p> $$\begin{pmatrix} \sin(\omega_i (pos + k)) \\ \cos(\omega_i (pos + k)) \end{pmatrix} = \begin{pmatrix} \cos(\omega_i k) & \sin(\omega_i k) \\ -\sin(\omega_i k) & \cos(\omega_i k) \end{pmatrix} \begin{pmatrix} \sin(\omega_i pos) \\ \cos(\omega_i pos) \end{pmatrix}$$ <p>Это означает, что существует фиксированная блочно-диагональная матрица перехода $M_k \in \mathbb{R}^{d \times d}$, зависящая только от величины относительного сдвига $k$, такая что $PE_{pos + k} = M_k PE_{pos}$. Благодаря этому линейные проекции $W_Q, W_K$ в механизме внимания могут легко обучаться выявлять относительные расстояния между словами независимо от их абсолютного положения в предложении.</p>	Лекция_16	Билет_15_Архитектура_Transformer
В чем разница между абсолютными (Learned, Sinusoidal) и относительными (RoPE, ALiBi) позиционными кодированиями и почему современные LLM перешли на RoPE?	<p>Сравнение подходов к позиционному кодированию:</p> <ol> <li><strong>Абсолютные (Sinusoidal, Learned Embeddings в BERT/GPT-2):</strong> Вектор позиции $PE_{pos}$ прибавляется к эмбеддингу токена $x_{pos} + PE_{pos}$ на входе в сеть. Главный недостаток: при длине контекста $L > L_{\text{train}}$ модель встречает незнакомые абсолютные индексы, и качество генерации резко деградирует (нет экстраполяции длины).</li> <li><strong>ALiBi (Attention with Linear Biases, Press et al., 2021):</strong> Отказывается от добавления позиций к эмбеддингам и вместо этого вычитает линейный штраф $m \cdot |i - j|$ прямо из логитов внимания $q_i^\top k_j$. Обеспечивает устойчивую экстраполяцию длины.</li> <li><p><strong>RoPE (Rotary Position Embedding, Su et al., 2021):</strong> Применяет ортогональное вращение к 2D-подпространствам векторов запросов $Q$ и ключей $K$: $\tilde{q}_m = R_{\Theta, m} q_m$, $\tilde{k}_n = R_{\Theta, n} k_n$. Скалярное произведение зависит исключительно от относительного сдвига $(m - n)$:</p> $$\langle \tilde{q}_m, \tilde{k}_n \rangle = q_m^\top R_{\Theta, m}^\top R_{\Theta, n} k_n = q_m^\top R_{\Theta, n - m} k_n$$ <p>RoPE используется в LLaMA 1/2/3, Mistral, Qwen и Gemma, поскольку оно естественно затухает с ростом относительного расстояния, совместимо с FlashAttention и эффективно масштабируется на сверхдлинные контексты (128K+ токенов) через методы интерполяции частот (RoPE scaling, YaRN).</p></li> </ol>	Лекция_16	Билет_15_Архитектура_Transformer
Что произойдет, если убрать деление на $\sqrt{d_k}$ в формуле Attention?	<p>При больших размерностях ключа $d_k$ (например, 64 или 128) дисперсия скалярных произведений $q \cdot k$ вырастет до $d_k$, а значения логитов достигнут десятков единиц. Softmax перейдет в насыщение (one-hot распределение с вероятностью 1 на максимальном элементе и 0 на остальных). В этой области производная Softmax практически равна нулю, градиенты исчезнут, и обучение модели полностью сорвется.</p>	Лекция_17	Билет_16_Внимание_и_самовнимание_(Q_K_V_маски)
Почему сложность Attention квадратична $O(T^2)$ по длине последовательности?	<p>Потому что мы обязаны вычислить степень схожести <em>каждого из $T$ токенов со всеми остальными $T$ токенами</em>, что порождает матрицу парных произведений $Q K^T$ размером $T \times T$. Умножение матрицы $(T \times d)$ на $(d \times T)$ требует $O(T^2 d)$ операций и $O(T^2)$ памяти.</p>	Лекция_17	Билет_16_Внимание_и_самовнимание_(Q_K_V_маски)
Чем отличаются матрицы $W^Q$ и $W^K$, если они имеют одинаковую размерность?	<p>Они инициализируются независимо и обучаются проецировать вектор токена в разные функциональные пространства: $W^Q$ формирует вектор «того, что токен ищет», а $W^K$ — «того, чем токен является для других». Если бы $W^Q = W^K$, матрица $Q K^T = Q Q^T$ была бы симметричной, что исключило бы асимметричные направленные отношения (например, глагол управляет существительным, но не наоборот).</p>	Лекция_17	Билет_16_Внимание_и_самовнимание_(Q_K_V_маски)
Как устроена причинная маска (Causal Mask) на уровне тензоров в PyTorch?	<p>Создается верхнетреугольная матрица с нулями на главной диагонали и выше (`torch.triu(..., diagonal=1)`). Все единичные элементы этой маски заменяются значением `-1e9` или `-inf` в матрице scores перед подачей в `torch.softmax`.</p>	Лекция_17	Билет_16_Внимание_и_самовнимание_(Q_K_V_маски)
Какова размерность выхода Multi-Head Attention после конкатенации голов?	<p>Если в модели $h$ голов с размерностью $d_v = d_{\text{model}} / h$, то конкатенация всех голов дает тензор размера $(B, T, h \cdot d_v) = (B, T, d_{\text{model}})$. Затем он умножается на финальную матрицу $W^O \in \mathbb{R}^{d_{\text{model}} \times d_{\text{model}}}$, сохраняя итоговую форму $(B, T, d_{\text{model}})$.</p>	Лекция_17	Билет_16_Внимание_и_самовнимание_(Q_K_V_маски)
Что делает FlashAttention и меняет ли он математический результат Attention?	<p>FlashAttention дает <strong>математически абсолютно точный результат</strong> классического внимания. Он оптимизирует выполнение на уровне «железа»: разбивает матрицы на блоки, помещающиеся в быструю память SRAM GPU, и вычисляет Softmax через онлайн-перемасштабирование (Online Softmax), не записывая матрицу $T \times T$ в медленную память HBM.</p>	Лекция_17	Билет_16_Внимание_и_самовнимание_(Q_K_V_маски)
Почему сумма элементов по каждой строке матрицы весов внимания всегда равна 1?	<p>Потому что Softmax применяется построчно по последней размерности (dim=-1). Это гарантирует, что вектор выхода для каждого токена является корректной выпуклой комбинацией (взвешенным средним) векторов значений $V$.</p>	Лекция_17	Билет_16_Внимание_и_самовнимание_(Q_K_V_маски)
Математически докажите, почему дисперсия скалярного произведения $\text{Var}(q \cdot k) = d_k$, если компоненты $q_i, k_i$ независимы с $\mathbb{E}=0$ и $\text{Var}=1$.	<p>Пусть $q, k \in \mathbb{R}^{d_k}$ — независимые случайные векторы, компоненты которых $q_i, k_i$ имеют нулевое математическое ожидание $\mathbb{E}[q_i] = \mathbb{E}[k_i] = 0$ и единичную дисперсию $\text{Var}(q_i) = \text{Var}(k_i) = 1$.</p> <p>Скалярное произведение равно сумме: $z = q \cdot k = \sum_{i=1}^{d_k} q_i k_i$.</p> <ol> <li><strong>Математическое ожидание каждого слагаемого:</strong> В силу независимости $q_i$ и $k_i$, $\mathbb{E}[q_i k_i] = \mathbb{E}[q_i] \mathbb{E}[k_i] = 0 \cdot 0 = 0$. Значит, $\mathbb{E}[z] = 0$.</li> <li><strong>Дисперсия одного слагаемого:</strong> $\text{Var}(q_i k_i) = \mathbb{E}[(q_i k_i)^2] - (\mathbb{E}[q_i k_i])^2 = \mathbb{E}[q_i^2] \mathbb{E}[k_i^2] - 0 = 1 \cdot 1 = 1$.</li> <li><strong>Дисперсия суммы независимых слагаемых:</strong> Так как все компоненты взаимно независимы: $$\text{Var}(q \cdot k) = \text{Var}\left(\sum_{i=1}^{d_k} q_i k_i\right) = \sum_{i=1}^{d_k} \text{Var}(q_i k_i) = \sum_{i=1}^{d_k} 1 = d_k$$ </li> </ol> <p>Следовательно, стандартное отклонение скалярного произведения равно $\sigma = \sqrt{d_k}$. Деление на $\sqrt{d_k}$ нормализует дисперсию: $\text{Var}\left(\frac{q \cdot k}{\sqrt{d_k}}\right) = \frac{\text{Var}(q \cdot k)}{(\sqrt{d_k})^2} = \frac{d_k}{d_k} = 1$, что удерживает аргументы Softmax в зоне максимального градиента.</p>	Лекция_17	Билет_16_Внимание_и_самовнимание_(Q_K_V_маски)
Почему в причинной маске (Causal Mask) для запрещенных позиций используют $-\infty$ (или $-10^4 / -10^9$) и как избежать появления NaN при вычислениях в float16?	<p>В формуле внимания Softmax вычисляется как $\text{Softmax}(z)_i = \frac{e^{z_i}}{\sum_j e^{z_j}}$. Чтобы занулить вероятность внимания к будущему токену $j$, его логит $z_j$ должен стремиться к $-\infty$, поскольку $\lim_{z \to -\infty} e^z = 0$.</p> <p>При переходе к половинной точности (<code>float16</code> / <code>bfloat16</code>) возникают численные риски:</p> <ul> <li>В формате <code>torch.float16</code> минимальное представимое конечное число равно $\approx -65504$. Если записать константу <code>-1e9</code>, в <code>float16</code> она переполнится до <code>-inf</code>. Если целая строка матрицы оказывается замаскированной (например, в padding-предложении), сумма в Softmax будет равна $\sum e^{-\infty} = 0$, и деление $\frac{0}{0}$ породит <strong>NaN</strong>, разрушающий веса модели.</li> <li>Правильная реализация в PyTorch использует минимальное число для текущего типа данных через <code>torch.finfo(dtype).min</code>, либо заполняет маскированные логиты значением <code>-1e4</code>, гарантируя $e^{-10000} = 0$ в float16 без риска переполнения.</li> </ul>	Лекция_17	Билет_16_Внимание_и_самовнимание_(Q_K_V_маски)
